info @storybook/react v6.1.18
info 
info => Cleaning outputDir /var/folders/77/_0gptm0s1t92tf6_ntg6t0vc0000gp/T/chromatic--94953-J6JSzDWLLpzt
info => Copying static files from: public
info => Using prebuilt manager
info => Building preview..
info => Loading preview config..
info => Loading presets
info => Loading 1 config file in "./.storybook"
info => Loading 7 other files in "./.storybook"
info => Adding stories defined in ".storybook/main.js"
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack setup
info => Compiling preview..
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/core/dist/server/common/polyfills.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/core/dist/server/preview/globals.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/.storybook/storybook-init-framework-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/common/config.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-links/dist/preset/addDecorator.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-actions/dist/preset/addDecorator.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-actions/dist/preset/addArgs.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-backgrounds/dist/preset/addDecorator.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js-generated-other-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/.storybook/preview.js-generated-config-entry.js /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 46% building 300/319 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.reflect.to-string-tag.js
<s> [webpack.Progress] 46% building 300/320 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.math.to-string-tag.js
<s> [webpack.Progress] 46% building 300/321 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/form/index.js
<s> [webpack.Progress] 46% building 300/322 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/Button/Button.js
<s> [webpack.Progress] 46% building 300/323 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/Zoom/Zoom.js
<s> [webpack.Progress] 46% building 301/323 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/Zoom/Zoom.js
<s> [webpack.Progress] 46% building 301/324 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.json.to-string-tag.js
<s> [webpack.Progress] 46% building 302/324 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.json.to-string-tag.js
<s> [webpack.Progress] 46% building 302/325 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/ScrollArea/ScrollArea.js
<s> [webpack.Progress] 46% building 302/326 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.unscopables.js
<s> [webpack.Progress] 46% building 302/327 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/placeholder/placeholder.js
<s> [webpack.Progress] 46% building 302/328 modules 26 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/spaced/Spaced.js
<s> [webpack.Progress] 46% building 303/328 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/spaced/Spaced.js
<s> [webpack.Progress] 46% building 304/328 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/spaced/Spaced.js
<s> [webpack.Progress] 46% building 305/328 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/spaced/Spaced.js
<s> [webpack.Progress] 46% building 305/329 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/addon-links/node_modules/qs/lib/utils.js
<s> [webpack.Progress] 46% building 305/330 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.to-string-tag.js
<s> [webpack.Progress] 46% building 305/331 modules 26 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.to-primitive.js
<s> [webpack.Progress] 46% building 305/332 modules 27 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/channels/dist/index.js
<s> [webpack.Progress] 46% building 305/333 modules 28 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.split.js
<s> [webpack.Progress] 46% building 305/334 modules 29 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.species.js
<s> [webpack.Progress] 46% building 305/335 modules 30 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.search.js
<s> [webpack.Progress] 46% building 305/336 modules 31 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/object-to-array.js
<s> [webpack.Progress] 46% building 305/337 modules 32 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.replace.js
<s> [webpack.Progress] 46% building 305/338 modules 33 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/create-property.js
<s> [webpack.Progress] 46% building 305/339 modules 34 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/call-with-safe-iteration-closing.js
<s> [webpack.Progress] 46% building 305/340 modules 35 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match-all.js
<s> [webpack.Progress] 46% building 305/341 modules 36 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/core-events/dist/index.js
<s> [webpack.Progress] 46% building 306/341 modules 35 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/core-events/dist/index.js
<s> [webpack.Progress] 46% building 307/341 modules 34 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/core-events/dist/index.js
<s> [webpack.Progress] 46% building 307/342 modules 35 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/collection-weak.js
<s> [webpack.Progress] 46% building 307/343 modules 36 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/correct-is-regexp-logic.js
<s> [webpack.Progress] 46% building 307/344 modules 37 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/not-a-regexp.js
<s> [webpack.Progress] 46% building 307/345 modules 38 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/arrayWithoutHoles.js
<s> [webpack.Progress] 46% building 307/346 modules 39 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/defineProperty.js
<s> [webpack.Progress] 46% building 307/347 modules 40 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/nonIterableSpread.js
<s> [webpack.Progress] 46% building 307/348 modules 41 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/unsupportedIterableToArray.js
<s> [webpack.Progress] 46% building 307/349 modules 42 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 46% building 308/349 modules 41 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 47% building 309/349 modules 40 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 47% building 310/349 modules 39 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 47% building 311/349 modules 38 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 47% building 312/349 modules 37 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 47% building 313/349 modules 36 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 47% building 314/349 modules 35 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 47% building 315/349 modules 34 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 47% building 316/349 modules 33 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 48% building 317/349 modules 32 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 48% building 318/349 modules 31 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/iterableToArray.js
<s> [webpack.Progress] 48% building 318/350 modules 32 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 48% building 319/350 modules 31 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 48% building 320/350 modules 30 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 48% building 321/350 modules 29 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 48% building 322/350 modules 28 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 48% building 323/350 modules 27 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 48% building 324/350 modules 26 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 49% building 325/350 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 49% building 326/350 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 49% building 327/350 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 49% building 328/350 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 49% building 329/350 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 49% building 330/350 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 49% building 331/350 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.symbol.match.js
<s> [webpack.Progress] 49% building 331/351 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.string.bold.js
<s> [webpack.Progress] 49% building 332/351 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.string.bold.js
<s> [webpack.Progress] 49% building 332/352 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_toSource.js
<s> [webpack.Progress] 49% building 332/353 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_ListCache.js
<s> [webpack.Progress] 49% building 332/354 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_baseGetTag.js
<s> [webpack.Progress] 49% building 333/354 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_baseGetTag.js
<s> [webpack.Progress] 49% building 333/355 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_getTag.js
<s> [webpack.Progress] 49% building 333/356 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_equalObjects.js
<s> [webpack.Progress] 50% building 334/356 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_equalObjects.js
<s> [webpack.Progress] 50% building 335/356 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_equalObjects.js
<s> [webpack.Progress] 50% building 336/356 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_equalObjects.js
<s> [webpack.Progress] 50% building 337/356 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_equalObjects.js
<s> [webpack.Progress] 50% building 338/356 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_equalObjects.js
<s> [webpack.Progress] 50% building 338/357 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_equalByTag.js
<s> [webpack.Progress] 50% building 339/357 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_equalByTag.js
<s> [webpack.Progress] 50% building 339/358 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/object-define-properties.js
<s> [webpack.Progress] 50% building 340/358 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/object-define-properties.js
<s> [webpack.Progress] 50% building 340/359 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_equalArrays.js
<s> [webpack.Progress] 50% building 341/359 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_equalArrays.js
<s> [webpack.Progress] 50% building 341/360 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_stackSet.js
<s> [webpack.Progress] 50% building 341/361 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_stackHas.js
<s> [webpack.Progress] 50% building 341/362 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_stackGet.js
<s> [webpack.Progress] 51% building 342/362 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_stackGet.js
<s> [webpack.Progress] 51% building 343/362 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_stackGet.js
<s> [webpack.Progress] 51% building 343/363 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_stackDelete.js
<s> [webpack.Progress] 51% building 343/364 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_stackClear.js
<s> [webpack.Progress] 51% building 343/365 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/isObject.js
<s> [webpack.Progress] 51% building 344/365 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/isObject.js
<s> [webpack.Progress] 51% building 345/365 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/isObject.js
<s> [webpack.Progress] 51% building 346/365 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/isObject.js
<s> [webpack.Progress] 51% building 347/365 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/isObject.js
<s> [webpack.Progress] 51% building 348/365 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/isObject.js
<s> [webpack.Progress] 51% building 349/365 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/isObject.js
<s> [webpack.Progress] 51% building 349/366 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_isMasked.js
<s> [webpack.Progress] 51% building 349/367 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/classof.js
<s> [webpack.Progress] 52% building 350/367 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/classof.js
<s> [webpack.Progress] 52% building 350/368 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.object.keys.js
<s> [webpack.Progress] 52% building 350/369 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_baseIsTypedArray.js
<s> [webpack.Progress] 52% building 350/370 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_nodeUtil.js
<s> [webpack.Progress] 52% building 350/371 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_baseIsArguments.js
<s> [webpack.Progress] 52% building 350/372 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_root.js
<s> [webpack.Progress] 52% building 350/373 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/icon/svg.js
<s> [webpack.Progress] 52% building 350/374 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/controls/index.js
<s> [webpack.Progress] 52% building 350/375 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/blocks/index.js
<s> [webpack.Progress] 52% building 350/376 modules 26 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.array.index-of.js
<s> [webpack.Progress] 52% building 350/377 modules 27 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/modules/es.array.some.js
<s> [webpack.Progress] 52% building 350/378 modules 28 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/icon/icons.js
<s> [webpack.Progress] 52% building 350/379 modules 29 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/stubFalse.js
<s> [webpack.Progress] 52% building 350/380 modules 30 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_baseUnary.js
<s> [webpack.Progress] 52% building 351/380 modules 29 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/lodash/_baseUnary.js
<s> [webpack.Progress] 52% building 351/381 modules 30 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/shared/animation.js
<s> [webpack.Progress] 52% building 352/381 modules 29 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/shared/animation.js
<s> [webpack.Progress] 52% building 353/381 modules 28 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/shared/animation.js
<s> [webpack.Progress] 52% building 354/381 modules 27 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/shared/animation.js
<s> [webpack.Progress] 52% building 355/381 modules 26 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/shared/animation.js
<s> [webpack.Progress] 52% building 356/381 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/shared/animation.js
<s> [webpack.Progress] 52% building 357/381 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/shared/animation.js
<s> [webpack.Progress] 52% building 358/381 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/shared/animation.js
<s> [webpack.Progress] 53% building 359/381 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/components/dist/shared/animation.js
<s> [webpack.Progress] 53% building 359/382 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/utils.js
<s> [webpack.Progress] 53% building 359/383 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/ensure.js
<s> [webpack.Progress] 53% building 359/384 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/convert.js
<s> [webpack.Progress] 53% building 360/384 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/convert.js
<s> [webpack.Progress] 53% building 360/385 modules 25 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/create.js
<s> [webpack.Progress] 53% building 361/385 modules 24 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/create.js
<s> [webpack.Progress] 53% building 362/385 modules 23 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/create.js
<s> [webpack.Progress] 53% building 363/385 modules 22 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/create.js
<s> [webpack.Progress] 53% building 364/385 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/create.js
<s> [webpack.Progress] 53% building 365/385 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/create.js
<s> [webpack.Progress] 53% building 365/386 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/global.js
<s> [webpack.Progress] 53% building 366/386 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/global.js
<s> [webpack.Progress] 54% building 367/386 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/@storybook/theming/dist/global.js
<s> [webpack.Progress] 54% building 367/387 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/a-possible-prototype.js
<s> [webpack.Progress] 54% building 367/388 modules 21 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/correct-prototype-getter.js
<s> [webpack.Progress] 54% building 368/388 modules 20 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/correct-prototype-getter.js
<s> [webpack.Progress] 54% building 369/388 modules 19 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/correct-prototype-getter.js
<s> [webpack.Progress] 54% building 370/388 modules 18 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/correct-prototype-getter.js
<s> [webpack.Progress] 54% building 371/388 modules 17 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/correct-prototype-getter.js
<s> [webpack.Progress] 54% building 372/388 modules 16 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/correct-prototype-getter.js
<s> [webpack.Progress] 54% building 373/388 modules 15 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/correct-prototype-getter.js
<s> [webpack.Progress] 54% building 374/388 modules 14 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/correct-prototype-getter.js
<s> [webpack.Progress] 54% building 375/388 modules 13 active /Users/gabrielbourget/Desktop/Dev/personal/StorybookIntro/taskbox/node_modules/core-js/internals/correct-prototype-getter.js
